"","sample","MF","MF_PID","MFover0.1","MFover0.1_PID","Depth.ave","Depth.ave_PID","Depth.min","Depth.min_PID","Depth.max","Depth.max_PID","no.of.sites","no.of.sites_PID"
"1","Run0_1_",0.0152726090402652,0.0187258526201947,0.392501829048848,0.42325609594819,55030.2857142857,16953.9250535332,10845,14861,70021,31726,13,18
"2","Run0_10",0.0213213657614222,0.0249326197286961,0.483777601994116,0.471809617368335,51255.9765625,11308.2526766595,10000,10090,70021,20968,15,21
"3","Run0_11",0.0135590776581178,0.0192286376633826,0.37031414186137,0.345260015202528,30798.9704142012,3258.31049250535,10078,2861,42383,5941,10,19
"4","Run0_14",0.021365445613239,0.0270426655927795,0.617591967201113,0.48714956378681,41157.8511235955,565.680942184154,10381,507,57645,1053,10,21
"5","Run0_16",0.0225733725063918,0.0318933516724565,0.610491026000945,0.480337919604831,49305.1639344262,6685.73661670236,10025,6042,70020,12380,12,27
"6","Run0_17",0.0107932406063558,0.0159661088286241,0.277851174685321,0.285815228499341,37294.8623595506,3042.2591006424,10000,2678,51236,5583,11,19
"7","Run0_3_",0.0191718055402188,0.0221038958822486,0.426794360288504,0.435942493354733,56839.6608910891,27085.4561027837,10090,23366,70022,49312,16,19
"8","Run0_5_",0.0194413146974594,0.0209333585091071,0.457210903372838,0.463064688432711,53586.5438596491,10264.0064239829,10085,8930,70022,19247,15,19
"9","Run0_6_",0.0155240860447754,0.0169504328095293,0.3311295264926,0.337800678876496,53707.2537313433,12688.6830835118,10026,11165,70021,23738,16,20
"10","Run0_8_",0.0152080052253406,0.0184508720212605,0.325754332249398,0.324396139474566,51240.0826873385,12554.721627409,10121,11158,70021,23231,15,21
"11","Run2_1_",0.00578185065339269,0.0263569240740711,0.224854968675877,0.249569230815587,56324.3858267717,11019.626450116,11321,1078,70021,12539,3,29
"12","Run2_11",0.0151867630144724,0.0308867954490016,0.353813291591973,0.285951593977784,56157.5924369748,10294.0092592593,10483,1016,70023,11902,9,35
"13","Run2_13",0.0160761584519522,0.0315878912400002,0.344114494988881,0.264055694362011,56134.1887550201,8839.20470588235,10193,1173,70021,10024,10,34
"14","Run2_18",0.028769641360838,0.0368908348815647,0.60359579369253,0.37160714459814,53543.3875598086,4672.74234693878,12407,1060,70023,5098,9,30
"15","Run2_19",0.02638022206738,0.0396685220627675,0.607744018531963,0.37476068989243,54331.9556451613,6910.95260663507,10485,1008,70022,7827,9,33
"16","Run2_20",0.0158666909451107,0.0396328280822411,0.394718600824175,0.306307161850407,56633.3614457831,8685.45824411135,10717,1243,70023,11188,9,48
"17","Run2_21",0.00955290610072229,0.0331238361446374,0.215949826838976,0.220444868812844,57977.7898832685,11916.3854389722,10250,1091,70024,14848,9,50
"18","Run2_22",0.00935689366045525,0.0257236957223602,0.24545356883142,0.218337833682391,55963.0409836066,10691.2054794521,10368,1039,70021,12439,7,35
"19","Run2_24",0.0229420318423996,0.0315524830488134,0.525406008923125,0.382833290154956,51799.7807017544,4012.9608801956,10270,1039,69782,4441,9,26
"20","Run2_9_",0.0162097383606929,0.0285230065121777,0.36595294590413,0.294448776716994,56360.4568965517,6320.68824940048,10005,1011,70024,7035,9,32
"21","Run3_1_",0.0123119943942408,0.010640626153054,0.420803399893733,0.41205973377179,66235.9146341463,18067.7608247423,34856,17428,70053,35005,11,11
"22","Run3_10",0.0247150645964636,0.0232266117918655,0.563465213810436,0.55837270758937,64562.6483739837,15401.0432989691,14184,15008,70046,29677,19,19
"23","Run3_11",0.0212957395313567,0.0204245968898059,0.455527577557313,0.46398139138514,63468.2215447154,20761.1505154639,14741,20066,70022,40335,20,20
"24","Run3_12",0.0172895213537852,0.015662771078506,0.536574113393021,0.533835867731967,64471.4491869919,18841.9072164948,13877,18202,70050,36659,13,13
"25","Run3_13",0.0194328486881271,0.0177571633989469,0.60823279071283,0.650615900313906,63323.7289527721,13323.2639175258,10449,12923,70022,25915,13,12
"26","Run3_14",0.0203414485553532,0.0187735991635889,0.696372429755646,0.75305811023495,64090.3108384458,18538.3731958763,10375,18150,70045,36156,11,11
"27","Run3_15",0.0171244170419249,0.0160468107634657,0.33258913952581,0.338509183926071,66410.1504065041,15541.2226804124,31910,15022,70060,29764,21,21
"28","Run3_16",0.0156833836155764,0.0139965019338923,0.27930307451449,0.272540394619215,66639.5650406504,21566.3175257732,35570,20778,70049,41155,22,22
"29","Run3_17",0.018249310941549,0.0169584200601866,0.432209191727497,0.435746466232859,232008.097560976,24952.4927835052,24514,23687,285846,48421,18,18
"30","Run3_18",0.0184966961385544,0.0170473787948344,0.441407377264283,0.43957701629705,181120.467479675,22054.7257731959,12129,21034,229266,42877,18,18
"31","Run3_19",0.0182515498251305,0.0177794129149528,0.454561528251482,0.460921451261546,22449.22,2613.6206185567,10007,2492,25508,5075,16,18
"32","Run3_2_",0.017773952041495,0.0161759307719257,0.620037506698119,0.615657608463241,64529.8220858896,18817.2536082474,10196,18478,70053,36874,12,12
"33","Run3_20",0.0189011782591685,0.0169811027687472,0.451494909483765,0.437290360085557,237137.071138211,20749.6989690722,39572,19744,283485,40095,18,18
"34","Run3_21",0.0185136992025401,0.0171210375562889,0.442738218817298,0.4409955814018,249696.134146341,25546.2309278351,40420,24350,298632,49564,18,18
"35","Run3_22",0.0180577903120281,0.016362318046537,0.427075599670173,0.420906137980674,65997.4918699187,25852.7195876289,30119,23723,70086,50000,18,18
"36","Run3_23",0.0216678276137521,0.0199084124218086,0.416045536126423,0.401978758343028,65833.6117886179,4135.68659793814,28853,3943,70055,8054,23,23
"37","Run3_3_",0.0154307491908323,0.0140158016467763,0.519734029914473,0.515980175737757,63532.4512195122,15914.8309278351,19022,15261,70047,30787,12,12
"38","Run3_4_",0.0100986435299663,0.0087799351650512,0.246992999592536,0.250522370218205,66634.0243902439,20165.6680412371,30951,19371,70059,38604,13,13
"39","Run3_5_",0.0176496476008376,0.0164367548610106,0.362828723787583,0.363301096024621,66217.8536585366,18340.3237113402,30555,17735,70048,35399,20,20
"40","Run3_6_",0.0183500228324816,0.0172148381650205,0.534779407542129,0.536733901363142,65688.8983739837,14454.806185567,22436,14014,70021,28016,14,14
"41","Run3_7_",0.0228842128941642,0.021458875976071,0.555146393616388,0.551953178229044,64472.5528455285,19371.7855670103,15982,18252,70037,37611,17,17
"42","Run3_8_",0.0222310292010503,0.020933422879133,0.537047858240875,0.53603894460642,64696.5121951219,6823.88453608247,14846,6369,70014,13234,17,17
"43","Run3_9_",0.0207730836906331,0.0195519502346783,0.446580694844581,0.430520833607316,65378.3333333333,21883.1257731959,23442,19063,70068,42459,19,20
"44","Run4_17",0.0168456775632501,0.0153040610700292,0.380186314658254,0.370300922516823,232311.287439614,10590.9649484536,10092,10024,299999,20482,16,18
"45","Run4_18",0.0255261152582614,0.0257798367595367,0.657292988290871,0.733092984396398,195146.736040609,11241.4261904762,10051,1500,280903,12029,14,14
"46","Run4_19",0.027920016296264,0.0295119549264434,0.723998581968131,0.814824018498706,156880.706632653,9630.10103092784,10261,9228,221304,18879,14,17
"47","Run4_20",0.0189407849580421,0.0206231465673484,0.456776278043334,0.52680517983873,209638.914357683,12740.5711340206,10073,12174,299975,24749,13,17
"48","Run4_21",0.0173633780746707,0.0167618647094105,0.38305231980691,0.423457805316383,225140.312039312,19030.4144329897,10541,18143,300005,37030,16,18
"49","Run4_22",0.0197036219893781,0.0216044348935824,0.462338909677913,0.49877652780086,158945.639593909,10668.3690721649,10078,10224,222468,20804,15,20
"50","Run4_23",0.0293893893482892,0.028229339132598,0.742963286783866,0.629837681302037,128569.479274611,8790.71546391753,10948,8598,180135,17260,14,21
