"","File.name","run","number","Ave.reads","Max.read","Tissue","Tissue2","Divergence","Diversity","Monkey","Week","Coinfection"
"1","Run0_1_",0,1,16097.9,16263,"Plasma","Plasma",1.7,1.65,"A22517",1,"Y"
"2","Run0_10",0,10,10804.4,10933,"Plasma","Plasma",2.23,1.91,"A22217",4,"Y"
"3","Run0_11",0,11,3116.6,3157,"Plasma","Plasma",1.68,1.62,"A22517",8,"Y"
"4","Run0_14",0,14,545.2,552,"Plasma","Plasma",2.34,1.58,"A22217",8,"Y"
"5","Run0_16",0,16,6434.5,6532,"Plasma","Plasma",2.82,1.81,"A22217",15,"Y"
"6","Run0_17",0,17,2890.9,2922,"Stock","Plasma",1.44,1.44,"B670_Stock",0,"Y"
"7","Run0_3_",0,3,24846,26446,"Plasma","Plasma",2,1.95,"A22117",1,"Y"
"8","Run0_5_",0,5,9764.8,9855,"Plasma","Plasma",1.87,1.8,"A22217",1,"Y"
"9","Run0_6_",0,6,11462.1,12137,"Plasma","Plasma",1.52,1.46,"A22517",4,"Y"
"10","Run0_8_",0,8,10998.4,12046,"Plasma","Plasma",1.68,1.63,"A22117",3,"Y"
"11","Run2_1_",2,1,10304.3,12332,"Plasma","Plasma",1.25,0.67,"A22517",16,"Y"
"12","Run2_10",2,10,12752.9,16218,"Plasma","Plasma",1.78,1.14,"A22117",16,"Y"
"13","Run2_11",2,11,9212,11643,"Plasma","Plasma",1.71,1.36,"A22117",21,"Y"
"14","Run2_13",2,13,8108.9,9900,"Plasma","Plasma",1.81,1.47,"A22117",31,"Y"
"15","Run2_19",2,19,6320.2,7723,"Plasma","Plasma",2.56,1.45,"A22217",24,"Y"
"16","Run2_20",2,20,8717.2,10091,"Plasma","Plasma",1.7,1.62,"A21918",1,"Y"
"17","Run2_21",2,21,11979.1,14140,"Plasma","Plasma",1.17,1.13,"A21918",3,"Y"
"18","Run2_22",2,22,10141.8,12074,"Plasma","Plasma",1.08,1.01,"A21918",8,"Y"
"19","Run2_5_",2,5,7948.6,9527,"Plasma","Plasma",2.06,0.94,"A22617",16,"Y"
"20","Run2_9_",2,9,5576,6906,"Plasma","Plasma",1.75,1.59,"A22117",8,"Y"
"21","Run3_1_",3,1,16530.6,17536,"Plasma","Plasma",0.96,0.7,"A22517",22,"Y"
"22","Run3_10",3,10,14482.8,15127,"Plasma","Plasma",2.02,0.99,"A22217",19,"Y"
"23","Run3_11",3,11,19071.7,20239,"Plasma","Plasma",1.84,1.49,"A22217",22,"Y"
"24","Run3_12",3,12,17680.8,18473,"Plasma","Plasma",1.33,0.75,"A21918",17,"Y"
"25","Run3_13",3,13,12536.7,13098,"Plasma","Plasma",1.47,0.7,"A21918",19,"Y"
"26","Run3_14",3,14,17499.7,18265,"Plasma","Plasma",1.53,0.59,"A21918",22,"Y"
"27","Run3_15",3,15,14463.6,15092,"Plasma","Plasma",1.5,1.25,"A23918",17,"Y"
"28","Run3_16",3,16,19963.7,20864,"Plasma","Plasma",1.33,1.11,"A23918",19,"Y"
"29","Run3_17",3,17,23209.8,24255,"Plasma","Plasma",1.57,1.52,"A21818",1,"Y"
"30","Run3_18",3,18,20584.4,21475,"Plasma","Plasma",1.57,1.52,"A22218",1,"Y"
"31","Run3_19",3,19,2214,2543,"Plasma","Plasma",1.64,1.59,"A22318",1,"Y"
"32","Run3_2_",3,2,16810.7,18495,"Plasma","Plasma",1.36,0.65,"A22517",25,"Y"
"33","Run3_20",3,20,19147,20089,"Plasma","Plasma",1.57,1.52,"A23218",1,"Y"
"34","Run3_21",3,21,23752.1,24829,"Plasma","Plasma",1.58,1.53,"A23518",1,"Y"
"35","Run3_22",3,22,24904.4,26372,"Plasma","Plasma",1.51,1.47,"A24018",1,"Y"
"36","Run3_23",3,23,3980.8,4033,"Plasma","Plasma",1.81,1.6,"A24018",6,"Y"
"37","Run3_3_",3,3,14562.2,15445,"Plasma","Plasma",1.27,0.77,"A22517",32,"Y"
"38","Run3_4_",3,4,18380.7,19444,"Plasma","Plasma",0.84,0.71,"A22617",22,"Y"
"39","Run3_5_",3,5,16269.1,17764,"Plasma","Plasma",1.55,1.26,"A22617",25,"Y"
"40","Run3_6_",3,6,13231.8,14044,"Plasma","Plasma",1.59,0.98,"A22617",33,"Y"
"41","Run3_7_",3,7,18161.9,18962,"Plasma","Plasma",1.97,1.1,"A22317",21,"Y"
"42","Run3_8_",3,8,6399.7,6682,"Plasma","Plasma",2.02,1.14,"A22317",24,"Y"
"43","Run3_9_",3,9,16647.2,21334,"Plasma","Plasma",2.01,1.37,"A22317",28,"Y"
"44","Run4_17",4,17,9795.5,10259,"Plasma","Plasma",1.52,1.49,"A22317",1,"Y"
"45","Run4_18",4,18,9470.2,12029,"Plasma","Plasma",2.58,1.03,"A22317",4,"Y"
"46","Run4_19",4,19,9080,9482,"Plasma","Plasma",2.96,0.75,"A22317",8,"Y"
"47","Run4_20",4,20,11910.3,12489,"Plasma","Plasma",2.08,1.24,"A22317",16,"Y"
"48","Run4_21",4,21,16613.1,18537,"Plasma","Plasma",1.68,1.63,"A22617",1,"Y"
"49","Run4_22",4,22,9995.6,10433,"Plasma","Plasma",2.17,1.67,"A22617",4,"Y"
"50","Run4_23",4,23,8298.3,8662,"Plasma","Plasma",2.83,0.83,"A22617",8,"Y"
"51","Run5_1_",5,1,305.5,316,"LN","Tissue",0.75,0.39,"A22517",16,"Y"
"52","Run5_10",5,10,169.2,172,"LN","Tissue",2.19,1.26,"A22217",24,"Y"
"53","Run5_12",5,12,3038.7,3176,"Plasma","Plasma",1.32,1.07,"A34119",8,"N"
"54","Run5_13",5,13,8908.6,9312,"Plasma","Plasma",1.03,0.96,"A34119",15,"N"
"55","Run5_14",5,14,651,661,"Plasma","Plasma",2,1.12,"A34119",30,"N"
"56","Run5_15",5,15,2530,2645,"Plasma","Plasma",0.65,0.65,"A34219",8,"N"
"57","Run5_16",5,16,271.4,275,"Plasma","Plasma",1.03,0.77,"A34219",15,"N"
"58","Run5_17",5,17,553.1,578,"Plasma","Plasma",1.2,0.72,"A34219",30,"N"
"59","Run5_2_",5,2,529.1,556,"LN","Tissue",1.47,1.29,"A22617",16,"Y"
"60","Run5_3_",5,3,388.2,394,"LN","Tissue",1.45,1.26,"A22117",16,"Y"
"61","Run5_4_",5,4,83,87,"LN","Tissue",2.57,1.5,"A22217",15,"Y"
"62","Run5_5_",5,5,114.2,116,"LN","Tissue",0.94,0.8,"A21918",15,"Y"
"63","Run5_6_",5,6,269.6,273,"LN","Tissue",1.21,0.72,"A22517",32,"Y"
"64","Run5_7_",5,7,78.9,80,"LN","Tissue",1.46,1.09,"A22617",33,"Y"
"65","Run5_8_",5,8,123.5,125,"LN","Tissue",1.12,0.96,"A22117",31,"Y"
"66","Run5_9_",5,9,99.1,100,"LN","Tissue",1.94,1.21,"A22317",28,"Y"
"67","Run6_1_",6,1,67.3,68,"LN","Tissue",2.15,1.56,"A34119",30,"N"
"68","Run6_10",6,10,295.6,299,"LN","Tissue",1.89,0.95,"A21918",22,"Y"
"69","Run6_11",6,11,206.7,216,"HLN","Tissue",2.1,1.04,"A21918",22,"Y"
"70","Run6_12",6,12,72.9,74,"LN","Tissue",2.11,1.76,"A22117",31,"Y"
"71","Run6_13",6,13,98.1,100,"LN","Tissue",2.67,1.73,"A22117",31,"Y"
"72","Run6_14",6,14,98.7,100,"HLN","Tissue",2.65,1.66,"A22217",24,"Y"
"73","Run6_15",6,15,232.2,243,"LN","Tissue",2.56,1.57,"A22217",24,"Y"
"74","Run6_16",6,16,85.4,86,"HLN","Tissue",2.48,1.75,"A22317",28,"Y"
"75","Run6_17",6,17,62.4,63,"LN","Tissue",2.45,1.87,"A22317",28,"Y"
"76","Run6_18",6,18,16.8,17,"LN","Tissue",3.12,2.2,"A22317",28,"Y"
"77","Run6_19",6,19,53.1,54,"HLN","Tissue",2.2,1.27,"A22617",33,"Y"
"78","Run6_2_",6,2,91.6,93,"HLN","Tissue",2.1,1.19,"A34119",30,"N"
"79","Run6_20",6,20,116.8,119,"LN","Tissue",1.98,1.29,"A22617",33,"Y"
"80","Run6_21",6,21,120.6,122,"LN","Tissue",2.24,1.16,"A34019",26,"Y"
"81","Run6_22",6,22,179.7,182,"HLN","Tissue",2.56,1.33,"A34019",26,"Y"
"82","Run6_23",6,23,195.5,199,"LN","Tissue",2.44,1.35,"A34019",26,"Y"
"83","Run6_24",6,24,168.2,170,"LN","Tissue",2.48,1.31,"A34019",26,"Y"
"84","Run6_3_",6,3,51.7,52,"LN","Tissue",2.33,1.67,"A34119",30,"N"
"85","Run6_4_",6,4,160.2,168,"LN","Tissue",2.11,1.47,"A34119",30,"N"
"86","Run6_5_",6,5,203.7,206,"LN","Tissue",1.59,1.02,"A22517",32,"Y"
"87","Run6_6_",6,6,65.2,66,"HLN","Tissue",1.64,1,"A22517",32,"Y"
"88","Run6_7_",6,7,556.9,564,"LN","Tissue",1.68,1.12,"A22517",32,"Y"
"89","Run6_8_",6,8,168.3,170,"LN","Tissue",1.55,0.95,"A22517",32,"Y"
"90","Run6_9_",6,9,255.2,259,"LN","Tissue",1.95,1.05,"A21918",22,"Y"
"91","Run7_10",7,10,266.8,270,"HLN","Tissue",1.17,0.85,"A34219",30,"N"
"92","Run7_11",7,11,307.2,311,"LN","Tissue",1.15,0.7,"A34219",30,"N"
"93","Run7_12",7,12,479.9,487,"Colon","Tissue",1.16,0.61,"A34219",30,"N"
"94","Run7_13",7,13,166.1,168,"HLN","Tissue",1.33,1.15,"A22117",31,"Y"
"95","Run7_14",7,14,370.8,376,"LN","Tissue",1.5,1.3,"A22117",31,"Y"
"96","Run7_15",7,15,425.9,431,"LN","Tissue",1.2,0.62,"A22517",32,"Y"
"97","Run7_16",7,16,172.5,174,"LN","Tissue",1.26,0.74,"A22517",32,"Y"
"98","Run7_17",7,17,195.9,198,"LN","Tissue",1.54,0.55,"A21918",22,"Y"
"99","Run7_18",7,18,1315.2,1426,"LN","Tissue",1.29,1,"A22117",31,"Y"
"100","Run7_19",7,19,1247,1303,"Lung","Tissue",1.37,1.07,"A22117",31,"Y"
"101","Run7_20",7,20,1497.9,1525,"Lung","Tissue",2.23,1.27,"A22217",24,"Y"
"102","Run7_21",7,21,45.4,46,"LN","Tissue",1.31,1.08,"A22117",31,"Y"
"103","Run7_22",7,22,208.7,212,"LN","Tissue",2.28,1.41,"A22217",24,"Y"
"104","Run7_23",7,23,273.7,277,"Plasma","Plasma",1.37,1.34,"A23918",1,"Y"
"105","Run7_24",7,24,452.8,458,"Plasma","Plasma",2.07,1.71,"A23918",4,"Y"
"106","Run7_9_",7,9,335.9,341,"LN","Tissue",1.22,0.81,"A34219",30,"N"
